State/District/Pincode,Year,Quarter,Registered_Users
744103,2023,2,18944
744105,2023,2,16488
744101,2023,2,15562
744102,2023,2,10387
744202,2023,2,5239
744107,2023,2,4425
744104,2023,2,3937
744112,2023,2,3261
744211,2023,2,2917
744205,2023,2,2605
south andaman,2023,3,83305
north and middle andaman,2023,3,14216
nicobars,2023,3,2734
744103,2023,3,19673
744105,2023,3,17171
744101,2023,3,16188
744102,2023,3,10799
744202,2023,3,5480
744107,2023,3,4591
744104,2023,3,4082
744112,2023,3,3382
744211,2023,3,3033
744205,2023,3,2716
south andaman,2023,4,86348
north and middle andaman,2023,4,14813
nicobars,2023,4,2817
744103,2023,4,20431
744105,2023,4,17824
744101,2023,4,16772
744102,2023,4,11155
744202,2023,4,5700
744107,2023,4,4759
744104,2023,4,4224
744112,2023,4,3496
744211,2023,4,3141
744205,2023,4,2822
south andaman,2024,1,89907
north and middle andaman,2024,1,15539
nicobars,2024,1,2965
744103,2024,1,21242
744105,2024,1,18563
744101,2024,1,17431
744102,2024,1,11589
744202,2024,1,5978
744107,2024,1,5006
744104,2024,1,4398
744112,2024,1,3629
744211,2024,1,3292
744205,2024,1,2975
south andaman,2024,2,93421
north and middle andaman,2024,2,16183
nicobars,2024,2,3083
744103,2024,2,22049
744105,2024,2,19314
744101,2024,2,18110
744102,2024,2,12053
744202,2024,2,6212
744107,2024,2,5184
744104,2024,2,4570
744112,2024,2,3761
744211,2024,2,3409
744205,2024,2,3090
south andaman,2024,3,143250
north and middle andaman,2024,3,21728
nicobar,2024,3,7495
744103,2024,3,42228
744105,2024,3,22090
744102,2024,3,17618
744104,2024,3,17606
744101,2024,3,11136
744202,2024,3,9206
744106,2024,3,7682
744211,2024,3,7045
744107,2024,3,6127
744301,2024,3,4126
south andaman,2024,4,148543
north and middle andaman,2024,4,22547
nicobar,2024,4,7698
744103,2024,4,43485
744105,2024,4,22976
744104,2024,4,18509
744102,2024,4,18169
744101,2024,4,11564
744202,2024,4,9545
744106,2024,4,7974
744211,2024,4,7337
744107,2024,4,6333
744301,2024,4,4221
visakhapatnam,2018,1,497187
east godavari,2018,1,350356
krishna,2018,1,323673
guntur,2018,1,317065
chittoor,2018,1,309541
anantapur,2018,1,241192
kurnool,2018,1,240133
west godavari,2018,1,213335
spsr nellore,2018,1,194475
prakasam,2018,1,189949
517501,2018,1,39884
530016,2018,1,34201
517507,2018,1,34111
515001,2018,1,31964
516001,2018,1,29078
518002,2018,1,29043
530026,2018,1,26889
516360,2018,1,26187
520010,2018,1,24397
524002,2018,1,23439
visakhapatnam,2018,2,636052
east godavari,2018,2,454398
krishna,2018,2,431965
guntur,2018,2,420326
chittoor,2018,2,414306
anantapur,2018,2,326383
kurnool,2018,2,319313
west godavari,2018,2,282393
spsr nellore,2018,2,261049
prakasam,2018,2,253458
517501,2018,2,53468
517507,2018,2,45241
530016,2018,2,43386
515001,2018,2,42466
516001,2018,2,38402
518002,2018,2,37593
516360,2018,2,34544
530026,2018,2,34126
520010,2018,2,31871
524002,2018,2,31134
visakhapatnam,2018,3,769096
east godavari,2018,3,558982
krishna,2018,3,537086
guntur,2018,3,518931
chittoor,2018,3,515727
anantapur,2018,3,405855
kurnool,2018,3,394311
west godavari,2018,3,349782
spsr nellore,2018,3,322446
prakasam,2018,3,314899
517501,2018,3,65157
517507,2018,3,54849
530016,2018,3,52259
515001,2018,3,51449
516001,2018,3,46691
518002,2018,3,45145
516360,2018,3,41963
530026,2018,3,40580
520010,2018,3,38918
524002,2018,3,37559
visakhapatnam,2018,4,978288
east godavari,2018,4,694455
krishna,2018,4,682479
chittoor,2018,4,665280
guntur,2018,4,659552
anantapur,2018,4,510892
kurnool,2018,4,498582
west godavari,2018,4,435668
spsr nellore,2018,4,407495
prakasam,2018,4,394962
517501,2018,4,82873
517507,2018,4,70421
530016,2018,4,65549
515001,2018,4,63576
516001,2018,4,58028
518002,2018,4,55735
516360,2018,4,52058
530026,2018,4,51900
520010,2018,4,48991
524002,2018,4,46616
visakhapatnam,2019,1,1174517
east godavari,2019,1,839277
krishna,2019,1,833694
chittoor,2019,1,812314
guntur,2019,1,802394
anantapur,2019,1,612162
kurnool,2019,1,599422
west godavari,2019,1,523372
spsr nellore,2019,1,491908
prakasam,2019,1,474260
517501,2019,1,100561
517507,2019,1,85980
530016,2019,1,77790
515001,2019,1,75171
516001,2019,1,68514
518002,2019,1,66689
530026,2019,1,61623
516360,2019,1,60798
520010,2019,1,59055
524002,2019,1,55931
visakhapatnam,2019,2,1318740
krishna,2019,2,952300
east godavari,2019,2,945181
chittoor,2019,2,925491
guntur,2019,2,915256
anantapur,2019,2,695114
kurnool,2019,2,680118
west godavari,2019,2,592185
spsr nellore,2019,2,558303
prakasam,2019,2,539462
517501,2019,2,113033
517507,2019,2,97534
530016,2019,2,87556
515001,2019,2,84157
516001,2019,2,76617
518002,2019,2,75952
530026,2019,2,68283
516360,2019,2,66885
520010,2019,2,66082
524002,2019,2,62933
visakhapatnam,2019,3,1460464
krishna,2019,3,1066546
east godavari,2019,3,1057167
chittoor,2019,3,1032733
guntur,2019,3,1026418
anantapur,2019,3,773656
kurnool,2019,3,755024
west godavari,2019,3,662102
spsr nellore,2019,3,619592
prakasam,2019,3,598568
517501,2019,3,124727
517507,2019,3,108199
530016,2019,3,97323
515001,2019,3,93191
518002,2019,3,84918
516001,2019,3,84693
530026,2019,3,74501
516360,2019,3,73267
520010,2019,3,72722
524002,2019,3,69783
visakhapatnam,2019,4,1620235
krishna,2019,4,1199971
east godavari,2019,4,1195228
guntur,2019,4,1158708
chittoor,2019,4,1156351
anantapur,2019,4,873033
kurnool,2019,4,846885
west godavari,2019,4,750078
spsr nellore,2019,4,697154
prakasam,2019,4,673522
517501,2019,4,136436
517507,2019,4,119146
530016,2019,4,106404
515001,2019,4,102848
516001,2019,4,94209
518002,2019,4,94193
516360,2019,4,81619
530026,2019,4,81191
520010,2019,4,79453
524002,2019,4,77681
visakhapatnam,2020,1,1763581
krishna,2020,1,1331602
east godavari,2020,1,1329664
guntur,2020,1,1289678
chittoor,2020,1,1270907
anantapur,2020,1,971850
kurnool,2020,1,936293
west godavari,2020,1,843835
spsr nellore,2020,1,775440
prakasam,2020,1,748655
517501,2020,1,146823
517507,2020,1,129214
530016,2020,1,114042
515001,2020,1,111359
518002,2020,1,102905
516001,2020,1,102893
516360,2020,1,89774
530026,2020,1,87449
524002,2020,1,85878
520010,2020,1,85779
visakhapatnam,2020,2,1904719
east godavari,2020,2,1459116
krishna,2020,2,1459041
guntur,2020,2,1426271
chittoor,2020,2,1385916
anantapur,2020,2,1076953
kurnool,2020,2,1035093
west godavari,2020,2,944829
spsr nellore,2020,2,854459
prakasam,2020,2,830709
517501,2020,2,156221
517507,2020,2,138735
530016,2020,2,120621
515001,2020,2,119223
518002,2020,2,112673
516001,2020,2,111898
516360,2020,2,98803
524002,2020,2,93834
530026,2020,2,93224
520010,2020,2,91299
visakhapatnam,2020,3,2058346
east godavari,2020,3,1601940
krishna,2020,3,1599289
guntur,2020,3,1567595
chittoor,2020,3,1506503
anantapur,2020,3,1186851
kurnool,2020,3,1132240
west godavari,2020,3,1053674
spsr nellore,2020,3,937176
prakasam,2020,3,915240
517501,2020,3,166768
517507,2020,3,149001
515001,2020,3,128227
530016,2020,3,128059
518002,2020,3,121529
516001,2020,3,120997
516360,2020,3,108073
524002,2020,3,102103
530026,2020,3,99754
520010,2020,3,97752
visakhapatnam,2020,4,2209658
east godavari,2020,4,1746280
krishna,2020,4,1744028
guntur,2020,4,1712940
chittoor,2020,4,1631331
anantapur,2020,4,1295872
kurnool,2020,4,1230466
west godavari,2020,4,1163179
spsr nellore,2020,4,1022944
prakasam,2020,4,999462
517501,2020,4,178328
517507,2020,4,160062
515001,2020,4,137945
530016,2020,4,136049
518002,2020,4,130871
516001,2020,4,130500
516360,2020,4,117397
524002,2020,4,110746
530026,2020,4,106320
520010,2020,4,104956
visakhapatnam,2021,1,2368081
east godavari,2021,1,1878769
krishna,2021,1,1876458
guntur,2021,1,1843237
chittoor,2021,1,1751420
anantapur,2021,1,1394849
kurnool,2021,1,1323411
west godavari,2021,1,1254117
spsr nellore,2021,1,1100541
prakasam,2021,1,1075936
517501,2021,1,190712
517507,2021,1,171417
515001,2021,1,147941
530016,2021,1,145206
518002,2021,1,140153
516001,2021,1,139840
516360,2021,1,126260
524002,2021,1,118730
530026,2021,1,113581
520010,2021,1,112324
visakhapatnam,2021,2,2526830
east godavari,2021,2,2006272
krishna,2021,2,2002662
guntur,2021,2,1968681
chittoor,2021,2,1870723
anantapur,2021,2,1492738
kurnool,2021,2,1415585
west godavari,2021,2,1339377
spsr nellore,2021,2,1176334
prakasam,2021,2,1151232
517501,2021,2,203005
517507,2021,2,182425
515001,2021,2,157649
530016,2021,2,154509
518002,2021,2,149368
516001,2021,2,148851
516360,2021,2,134622
524002,2021,2,126459
530026,2021,2,120973
520010,2021,2,119561
visakhapatnam,2021,3,2707931
east godavari,2021,3,2150622
krishna,2021,3,2145423
guntur,2021,3,2110878
chittoor,2021,3,2007011
anantapur,2021,3,1606735
kurnool,2021,3,1522196
west godavari,2021,3,1436576
spsr nellore,2021,3,1263550
prakasam,2021,3,1239147
517501,2021,3,216777
517507,2021,3,194860
515001,2021,3,168654
530016,2021,3,164812
518002,2021,3,159802
516001,2021,3,158891
516360,2021,3,144068
524002,2021,3,135136
530026,2021,3,129270
520010,2021,3,127618
visakhapatnam,2021,4,2888774
east godavari,2021,4,2294347
krishna,2021,4,2288148
guntur,2021,4,2252443
chittoor,2021,4,2141818
anantapur,2021,4,1719437
kurnool,2021,4,1628242
west godavari,2021,4,1532898
spsr nellore,2021,4,1349290
prakasam,2021,4,1325728
517501,2021,4,230688
517507,2021,4,207174
515001,2021,4,179763
530016,2021,4,175300
518002,2021,4,170267
516001,2021,4,169158
516360,2021,4,153381
524002,2021,4,143764
530026,2021,4,137812
520010,2021,4,135719
visakhapatnam,2022,1,3061324
east godavari,2022,1,2432305
krishna,2022,1,2423373
guntur,2022,1,2387051
chittoor,2022,1,2270705
anantapur,2022,1,1827094
kurnool,2022,1,1729513
west godavari,2022,1,1626039
spsr nellore,2022,1,1431664
prakasam,2022,1,1408929
517501,2022,1,243791
517507,2022,1,218905
515001,2022,1,190203
530016,2022,1,185094
518002,2022,1,180102
516001,2022,1,179007
516360,2022,1,162263
524002,2022,1,151939
530026,2022,1,145842
520010,2022,1,143308
visakhapatnam,2022,2,3226029
east godavari,2022,2,2564165
krishna,2022,2,2552107
guntur,2022,2,2514794
chittoor,2022,2,2392549
anantapur,2022,2,1928213
kurnool,2022,2,1825280
west godavari,2022,2,1714357
spsr nellore,2022,2,1509927
prakasam,2022,2,1487589
517501,2022,2,256290
517507,2022,2,229983
515001,2022,2,200266
530016,2022,2,194513
518002,2022,2,189505
516001,2022,2,188295
516360,2022,2,170855
524002,2022,2,159834
530026,2022,2,153586
520010,2022,2,150546
visakhapatnam,2022,3,3397514
east godavari,2022,3,2702234
krishna,2022,3,2685215
guntur,2022,3,2647100
chittoor,2022,3,2517657
anantapur,2022,3,2030824
kurnool,2022,3,1924127
west godavari,2022,3,1805967
spsr nellore,2022,3,1588875
prakasam,2022,3,1567520
517501,2022,3,269370
517507,2022,3,241720
515001,2022,3,210661
530016,2022,3,204230
518002,2022,3,199354
516001,2022,3,197910
516360,2022,3,179806
524002,2022,3,168015
530026,2022,3,161715
520010,2022,3,158071
visakhapatnam,2022,4,3566854
east godavari,2022,4,2835087
krishna,2022,4,2813645
guntur,2022,4,2774365
chittoor,2022,4,2636036
anantapur,2022,4,2128066
kurnool,2022,4,2018290
west godavari,2022,4,1893310
spsr nellore,2022,4,1663684
prakasam,2022,4,1642503
517501,2022,4,282766
517507,2022,4,253314
515001,2022,4,221328
530016,2022,4,214155
518002,2022,4,209376
516001,2022,4,207725
516360,2022,4,188768
524002,2022,4,176415
530026,2022,4,169957
520010,2022,4,165734
visakhapatnam,2023,1,3732544
east godavari,2023,1,2965296
krishna,2023,1,2941585
guntur,2023,1,2900895
chittoor,2023,1,2755784
anantapur,2023,1,2228505
kurnool,2023,1,2114023
west godavari,2023,1,1980446
spsr nellore,2023,1,1740294
prakasam,2023,1,1719910
517501,2023,1,295420
517507,2023,1,264456
515001,2023,1,231542
530016,2023,1,223726
518002,2023,1,219100
516001,2023,1,217104
516360,2023,1,197437
524002,2023,1,184419
530026,2023,1,177985
520010,2023,1,173156
visakhapatnam,2023,2,3877504
east godavari,2023,2,3082893
krishna,2023,2,3054956
guntur,2023,2,3014655
chittoor,2023,2,2865250
anantapur,2023,2,2323796
kurnool,2023,2,2202517
west godavari,2023,2,2059880
spsr nellore,2023,2,1811781
prakasam,2023,2,1792637
517501,2023,2,306201
517507,2023,2,273955
515001,2023,2,240176
530016,2023,2,231775
518002,2023,2,227292
516001,2023,2,225126
516360,2023,2,204900
524002,2023,2,191332
530026,2023,2,184561
520001,2023,2,179439
visakhapatnam,2023,3,4035323
east godavari,2023,3,3211557
krishna,2023,3,3177643
guntur,2023,3,3137289
chittoor,2023,3,2981337
anantapur,2023,3,2421293
kurnool,2023,3,2295754
west godavari,2023,3,2146530
spsr nellore,2023,3,1887005
prakasam,2023,3,1868997
517501,2023,3,317981
517507,2023,3,284487
515001,2023,3,249655
530016,2023,3,240480
518002,2023,3,236199
516001,2023,3,233874
516360,2023,3,213165
524002,2023,3,198528
530026,2023,3,192066
520001,2023,3,186511
visakhapatnam,2023,4,4180797
east godavari,2023,4,3329036
krishna,2023,4,3291814
guntur,2023,4,3251121
chittoor,2023,4,3089391
anantapur,2023,4,2512744
kurnool,2023,4,2383042
west godavari,2023,4,2227243
spsr nellore,2023,4,1956706
prakasam,2023,4,1939979
517501,2023,4,328762
517507,2023,4,293894
515001,2023,4,258235
530016,2023,4,248401
518002,2023,4,244371
516001,2023,4,242054
516360,2023,4,220919
524002,2023,4,205559
530026,2023,4,198977
520001,2023,4,192934
visakhapatnam,2024,1,4349723
east godavari,2024,1,3465605
krishna,2024,1,3423998
guntur,2024,1,3382454
chittoor,2024,1,3214678
anantapur,2024,1,2619335
kurnool,2024,1,2484451
west godavari,2024,1,2319971
spsr nellore,2024,1,2037823
prakasam,2024,1,2022873
517501,2024,1,341202
517507,2024,1,305041
515001,2024,1,268309
530016,2024,1,257668
518002,2024,1,253903
516001,2024,1,251394
516360,2024,1,229802
524002,2024,1,213525
530026,2024,1,206906
520001,2024,1,200608
visakhapatnam,2024,2,4515738
east godavari,2024,2,3597667
krishna,2024,2,3552494
guntur,2024,2,3508719
chittoor,2024,2,3335024
anantapur,2024,2,2720387
kurnool,2024,2,2580812
west godavari,2024,2,2409237
spsr nellore,2024,2,2114324
prakasam,2024,2,2099814
517501,2024,2,353573
517507,2024,2,316010
515001,2024,2,278162
530016,2024,2,266985
518002,2024,2,263336
516001,2024,2,260257
516360,2024,2,238191
524002,2024,2,221215
530026,2024,2,214840
520001,2024,2,207237
visakhapatnam,2024,3,2487971
ntr,2024,3,1953695
tirupati,2024,3,1870882
guntur,2024,3,1695537
sri potti sriramulu nellore,2024,3,1446214
ananthapuramu,2024,3,1320379
kakinada,2024,3,1293864
ysr,2024,3,1209820
kurnool,2024,3,1209238
east godavari,2024,3,1167720
517501,2024,3,402860
516001,2024,3,230123
518002,2024,3,216907
515001,2024,3,200693
520003,2024,3,195988
524002,2024,3,193508
516360,2024,3,190164
520007,2024,3,190077
530016,2024,3,188363
520010,2024,3,187871
visakhapatnam,2024,4,2566650
ntr,2024,4,2010922
tirupati,2024,4,1927263
guntur,2024,4,1749346
sri potti sriramulu nellore,2024,4,1485904
ananthapuramu,2024,4,1358486
kakinada,2024,4,1333623
kurnool,2024,4,1243710
ysr,2024,4,1242179
east godavari,2024,4,1202680
517501,2024,4,418271
516001,2024,4,237781
518002,2024,4,224333
515001,2024,4,207830
520003,2024,4,202231
524002,2024,4,198741
520007,2024,4,196902
530016,2024,4,195477
516360,2024,4,194634
520010,2024,4,194233
papum pare,2018,1,7649
west kameng,2018,1,2202
east siang,2018,1,1803
tawang,2018,1,1525
changlang,2018,1,1208
lohit,2018,1,1207
west siang,2018,1,846
namsai,2018,1,737
lower dibang valley,2018,1,601
upper subansiri,2018,1,572
791110,2018,1,2316
791111,2018,1,2203
791113,2018,1,1475
791102,2018,1,1471
790104,2018,1,1139
791001,2018,1,969
791109,2018,1,857
792103,2018,1,829
792001,2018,1,828
790116,2018,1,766
papum pare,2018,2,11418
west kameng,2018,2,3442
east siang,2018,2,2646
tawang,2018,2,2266
changlang,2018,2,2014
lohit,2018,2,1898
namsai,2018,2,1276
west siang,2018,2,1224
lower dibang valley,2018,2,893
upper subansiri,2018,2,883
791110,2018,2,3488
791111,2018,2,3272
791113,2018,2,2219
791102,2018,2,2212
790104,2018,2,1698
792103,2018,2,1457
791001,2018,2,1421
792001,2018,2,1315
791109,2018,2,1231
790116,2018,2,1213
papum pare,2018,3,16009
west kameng,2018,3,4765
east siang,2018,3,3590
tawang,2018,3,3112
changlang,2018,3,2889
lohit,2018,3,2612
namsai,2018,3,1862
west siang,2018,3,1652
lower dibang valley,2018,3,1286
tirap,2018,3,1226
791110,2018,3,4872
791111,2018,3,4610
791113,2018,3,3178
791102,2018,3,3077
790104,2018,3,2328
792103,2018,3,2067
791001,2018,3,1907
792001,2018,3,1819
790116,2018,3,1623
791109,2018,3,1612
papum pare,2018,4,21342
west kameng,2018,4,6492
east siang,2018,4,4813
tawang,2018,4,4085
changlang,2018,4,4036
lohit,2018,4,3588
namsai,2018,4,2495
west siang,2018,4,2117
lower dibang valley,2018,4,1827
tirap,2018,4,1684
791110,2018,4,6599
791111,2018,4,6225
791113,2018,4,4115
791102,2018,4,4109
790104,2018,4,3034
792103,2018,4,2741
792001,2018,4,2577
791001,2018,4,2444
790116,2018,4,2206
791109,2018,4,2071
papum pare,2019,1,26298
west kameng,2019,1,8115
east siang,2019,1,5899
changlang,2019,1,5210
tawang,2019,1,5023
lohit,2019,1,4416
namsai,2019,1,3153
west siang,2019,1,2656
lower dibang valley,2019,1,2314
tirap,2019,1,2082
791110,2019,1,8094
791111,2019,1,7673
791113,2019,1,5140
791102,2019,1,5030
790104,2019,1,3751
792103,2019,1,3477
792001,2019,1,3160
791001,2019,1,3103
790116,2019,1,2798
791109,2019,1,2519
papum pare,2019,2,32800
west kameng,2019,2,9782
east siang,2019,2,7319
changlang,2019,2,6884
tawang,2019,2,5908
lohit,2019,2,5485
namsai,2019,2,3914
west siang,2019,2,3393
lower dibang valley,2019,2,2842
tirap,2019,2,2697
791110,2019,2,10055
791111,2019,2,9597
791113,2019,2,6418
791102,2019,2,6283
790104,2019,2,4437
792103,2019,2,4369
791001,2019,2,3960
792001,2019,2,3918
790116,2019,2,3335
791109,2019,2,3151
papum pare,2019,3,38845
west kameng,2019,3,11186
east siang,2019,3,8571
changlang,2019,3,8145
tawang,2019,3,6553
lohit,2019,3,6421
namsai,2019,3,4563
west siang,2019,3,4101
lower dibang valley,2019,3,3398
tirap,2019,3,3099
791110,2019,3,11834
791111,2019,3,11464
791113,2019,3,7593
791102,2019,3,7308
792103,2019,3,5172
790104,2019,3,4964
791001,2019,3,4733
792001,2019,3,4605
791109,2019,3,3715
790116,2019,3,3709
papum pare,2019,4,44746
west kameng,2019,4,12562
east siang,2019,4,9859
changlang,2019,4,9662
lohit,2019,4,7386
tawang,2019,4,7303
namsai,2019,4,5190
west siang,2019,4,4773
lower dibang valley,2019,4,3944
tirap,2019,4,3605
791110,2019,4,13737
791111,2019,4,13109
791113,2019,4,8753
791102,2019,4,8369
792103,2019,4,5974
790104,2019,4,5523
791001,2019,4,5499
792001,2019,4,5268
791109,2019,4,4216
790116,2019,4,4071
papum pare,2020,1,51342
west kameng,2020,1,13983
east siang,2020,1,11298
changlang,2020,1,11262
lohit,2020,1,8454
tawang,2020,1,8048
namsai,2020,1,6029
west siang,2020,1,5757
lower dibang valley,2020,1,4650
lower subansiri,2020,1,4351
791110,2020,1,15867
791111,2020,1,14888
791113,2020,1,10049
791102,2020,1,9584
792103,2020,1,6949
791001,2020,1,6631
790104,2020,1,6108
792001,2020,1,6044
